,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Founded,Founders,Investor
273,Gig India,Crowdsourcing,Pre-series A,"$1,000,000",Pune,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,2020,2017,"Aditya Shirole, Sahil Sharma","Shantanu Deshpande, Subramaniam Ramadorai"
274,Slurrp Farm,Food & Bevarages,Series A,"$2,000,000",Gurgaon,Slurrp Farm is a children health food brand.,2020,2016,Meghana Narayan,Fireside Ventures
275,Medfin,HealthTech,Series A,Undisclosed,Bangalore,Medfin is a Discovery platform for medical procedures and financing.,2020,2017,"Arjun Kumar, Arun Kumar, Sidharth Gurjar","Axilor Ventures, S.D. Shibulal"
276,MasterG,Fashion startup,undisclosed,Undisclosed,New Delhi,MasterG is a design and skill development organisation.,2020,2015,Gayatri Jolly,Acumen Fund's angel programme
277,Brila 91,Food & Bevarages,undisclosed,"$1,200,000",New Delhi,Bira 91 is a craft beer company.,2020,2014,Ankur Jain,"Sequoia Capital India, Sixth Sense Ventures"
278,FoodyBuddy,Food Industry,undisclosed,"$600,000",Belgaum,FoodyBuddy is a online food delivery portal,2020,2015,"Akil Sethuraman, Anup Gopinath, Rachna Rao",Rebel Foods
279,Zomato,Food Delivery,undisclosed,"$660,000,000",Gurgaon,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,2020,2008,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management"
280,OurEye.ai,Virtual auditing startup,undisclosed,"$120,000",Bangalore,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.",2020,2020,"Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal","100X VC, Amara Ventures"
281,Shiprocket,E-commerce,Series C,"$7,500,000",New Delhi,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,2020,2017,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, InnoVen Capital"
282,Pine Labs,FinTech,undisclosed,Undisclosed,Noida,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,2020,1998,Amrish Rau,"Mastercard, Temasek Holdings"
283,Moneyboxx Finance,FinTech,undisclosed,"$1,000,000",New Delhi,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,2020,2019,Prashant Agarwal,"BlackSoil, Caspian"
284,EWar,Gaming,Pre-series A,Undisclosed,Bangalore,EWar Games is a e-sports and real-time gaming start-up.,2020,2019,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee"
285,SucSEED Indovation,FinTech,undisclosed,"$5,000,000",Hyderabad,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",2020,2016,Vikrant Varshney,
286,TaxBuddy.com,FinTech,undisclosed,"$1,000,000",Mumbai,TaxBuddy for any tax related issues.,2020,2019,Sujit Bangar,Zenith Global
287,Awign Enterprises,Work fulfillment,undisclosed,"$500,000",Bangalore,Operations and manpower outsourcing startup,2020,2016,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M"
288,Circle of Angels,FinTech,undisclosed,"$3,000,000",Gurgaon,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,2020,2018,Karanpal Singh,
289,CoinDCX,FinTech,Series B,"$10,000,000",Mumbai,CoinDCX is a company that specializes in crypto-enabled financial services.,2020,2017,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain"
290,Glance,AI startup,undisclosed,"$145,000,000",Bangalore,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,2020,2016,Naveen Tewari,Mithril Capital Management.
291,VerSe Innovation,Telecommunication,undisclosed,"$100,000,000",Bangalore,Owner of Dailyhunt App and I-Pay,2020,2007,Virendra Gupta,Google
292,Voosh,Food Industry,Pre-seed,Undisclosed,Bangalore,Building India's largest digital food service brand,2020,2020,Priyam Saraswat,Better Capital
293,Delhivery,E-commerce,undisclosed,,Gurgaon,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,2020,2011,"Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Steadview Capital, Canada Pension Plan Investment Board"
294,Arya,AgriTech,Series B,"$21,000,000",Noida,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",2020,1982,"Chattanathan Devarajan, Prasanna Rao, Anand Chandra",Quona Capital
295,Pickrr,Logistics,undisclosed,"$4,000,000",New Delhi,Pickrr is an on-demand first mile logistics company,2020,2015,"Ankit Kaushik, Gaurav Mangla, Rhitiman Majumder",Swastika
296,PhonePe,FinTech,undisclosed,"$20,000,000",Andheri,PhonePe is a mobile payment application that enables users to transfer money instantly.,2020,2015,"Burzin Engineer, Rahul Chari, Sameer Nigam","Flipkart, Walmart"
297,Countingwell,EdTech,Pre-series A,"$1,000,000",Bangalore,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",2020,2018,Nirmal Shah,"Delhi Private School, UAE, Interstar"
298,Callify.ai,Tech Startup,Seed,"$560,000",Mumbai,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,2020,2016,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures
299,Hudle,Sports,Pre-series A,Undisclosed,New Delhi,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,2020,2016,Suhail Narain,Survam Partners
300,Cover it Up,E-commerce,Seed,"$400,000",Chennai,Online portal that churns out high quality products,2020,2013,Ronak Sarda,Angel investors
301,BiteSpeed,E-commerce,Seed,"$275,000",Gurgaon,Chat-based commerce for E-commerce brands,2020,2019,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital
302,WakeFit,Retail,Series B,"$20,000,000",Bangalore,Wakefitkart is a mattress manufacturing company,2020,2016,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.
303,Sreyas Holistic Remedies,Medtech,undisclosed,"$1,000,000",Hyderabad,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,2020,2008,Dr Prashant Soma,Blacksoil
304,Fleeca India,Tyre management,undisclosed,Undisclosed,Jaipur,FLEECA is a Tyre Care Provider company.,2020,2016,Tikam Jain,Bridgestone India
305,M1xchange,FinTech,undisclosed,"$4,500,000",Gurgaon,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,2020,2017,Sundeep Mohindru,"BEENEXT, Mayfield Fund"
306,Exotel,Cloud company,undisclosed,"$5,000,000",Bangalore,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,2020,2011,Shivakumar Ganesan,"A91 Partners, Artha India Ventures"
307,PagarBook,Software company,Series A,"$15,000,000",Bangalore,"Staff's Salary, Work & Attendance Management Application",2020,2019,"Adarsh Kumar, Rupesh Mishra","Sequoia Capital, India Quotient"
308,PointOne Capital,Venture capitalist,undisclosed,,Bangalore,Pre-seed/Seed focussed VC investor,2020,2020,Mihir Jha,
309,Ayana,Renewable player,undisclosed,"$390,000,000",Bangalore,Ayana Renewable Power is an Indian renewable energy platform,2020,2017,Shivanand N,"NIIF Ltd, CDC Group"
310,Fisdom,FinTech,undisclosed,"$7,000,000",Bangalore,Fisdom is a fintech company that offers investment advisory services through an application.,2020,2015,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V., Subramanya Venkat","PayU Finance India, Quona Capital"
311,Tinker Coders,EdTech,Seed,Undisclosed,Noida,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,2020,2020,Anoop Gautam,STEMROBO Technologies
312,Infinite Uptime,IoT startup,Series B,"$5,100,000",Pune,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,2020,2015,Raunak Bhinge,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund"
313,HappyLocate,SaaS startup,Pre-series A,"$500,000",Bangalore,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",2020,2016,"Ajay Tiwari, Sainadh Duvvuru",The CoWrks Foundry
314,PhonePe,FinTech,undisclosed,"$700,000,000",New Delhi,PhonePe is a mobile payments application that allows the user to transfer money instantly.,2020,2015,"Burzin Engineer, Rahul Chari, Sameer Nigam",Flipkart
315,Loop Health,HealthTech,Seed,"$2,300,000",Pune,Loop Health is bringing ease and choice to patients seeking major medical treatments.,2020,2017,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures"
316,NeoDocs,HealthTech,Pre-seed,Undisclosed,Mumbai,Neodocs analyses medical reports and provides personalised health recommendations remotely.,2020,2020,"Anurag Meena, Nikunj Malpani, Pratik Lodha",9Unicorns Accelerator Fund
317,The ePlane,Aero company,Seed,Undisclosed,Chennai,Transforming the mobility landscape using aerial transport.,2020,2016,"Satya Chakravarthy, Pranjal Mehta",Speciale Invest
318,TagMango,Marketing company,Seed,"$700,000",Mumbai,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.",2020,2019,"Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin"
319,The New Shop,Retail startup,Seed,"$500,000",New Delhi,The New Shop is a chain of high speed retail stores,2020,2019,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator
320,MobiKwik,FinTech,undisclosed,"$7,000,000",Gurgaon,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.",2020,2009,"Bipin Singh, Upasana Taku","Hindustan Media Venture, Nicolas Jarrosson"
321,DebugsBunny,EdTech,undisclosed,"$100,000",Pune,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,2020,2020,Sumit Sanjay Singare,India Angel Fund
322,BHIVE Investech,Co-working Startup,Seed,"$1,000,000",Bangalore,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,2020,2014,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures
323,Rivigo,Logistics,undisclosed,"$19,000,000",Gurgaon,Rivigo is a technology-enabled logistics platform provider that offers transport services.,2020,2014,"Deepak Garg, Gazal Kalra","Elevation Capital, Trifecta Capital Advisors"
324,ZipLoan,Finance company,undisclosed,"$3,000,000",New Delhi,ZipLoan is a online lending platform,2020,2015,"KSHITIJ Puri, Shalabh Singhal","Stride Ventures, Matrix Partners India"
325,Swipez,FinTech,undisclosed,Undisclosed,Pune,Swipez is a payment collection platform.,2020,2014,Vivek Iyer,"9Unicorns, Anicut"
326,Humus,AgriTech,undisclosed,Undisclosed,Bangalore,Farmgate to Retail outlet Agri-Fresh produce supply chain,2020,2019,"Manjunatha T N, Shilpa Gopalaiah","Venture Catalysts, 9Unicorns, We Founders Circle."
327,Artivatic.ai,Tech company,undisclosed,Undisclosed,Bangalore,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",2020,2017,Layak Singh,"SenseAI Ventures, Saurabh Chugh"
328,Prescinto,Solar Monitoring Company,Seed,Undisclosed,Ahmedabad,Prescinto provides solutions for solar monitoring and analytics solutions.,2020,2016,"Puneet Singh Jaggi, Sanjay Bhasin, Ram Menon","Startup incubator, Accelerator Venture Catalysts"
329,Toppeq,SaaS startup,Seed,Undisclosed,Mumbai,SaaS-based equity management platform,2020,2019,Nandini Sankar,
330,Bolo Indya,Video sharing platform,undisclosed,"$400,000",Gurgaon,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.",2020,2019,"Tanmai Paul, Varun Saxena","India Accelerator, Sunil Kamath"
331,Bombay Play,Gaming startup,Seed,"$1,000,000",Bangalore,Bombay Play is a Card and Toy Company Making games for India.,2020,2017,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India"
332,FreshToHome,E-commerce,undisclosed,Undisclosed,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,2015,Shan Kadavil,Investment Corporation of Dubai (ICD)
333,KIKO TV,Video streaming platform,Seed,Undisclosed,Mumbai,KIKO TV is an AI-based short live video e-commerce platform.,2020,2020,"Shivam Varshney, Alok Chawla","9Point8 Capital, Sunil Kumar Singhvi"
334,Atomberg Technologies,Consumer appliances,Series B,"$9,000,000",Mumbai,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances",2020,2012,"Manoj Meena, Sibabrata Das","Sandeep Tandon, Survam Partners"
335,DealShare,E-commerce,Series C,"$21,000,000",Jaipur,DealShare is a Social Commerce Startup,2020,2018,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network"
336,Smallcase,FinTech,undisclosed,Undisclosed,Bangalore,Changing how India invests in equities,2020,2015,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","WEH Ventures, BEENEXT"
337,CueMath,EdTech,Series C,"$40,000,000",Bangalore,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,2020,2011,Manan Khurma,"Sequoia Capital India, CapitalG"
338,Gamerji,Gaming startup,Seed,Undisclosed,Ahmedabad,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.",2020,2018,"Soham Thacker, Valay Patel, Varun Gajjar",La Gajjar Group.
339,5C Network,HealthTech,Pre-series A,"$1,200,000",Bangalore,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",2020,2014,Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures"
340,Ethereum Push Notification Service,Blockchain startup,Seed,"$750,000",Mumbai,EPNS is a decentralized notification protocol,2020,2020,"Harsh Rajat, Richa Joshi",Prolific angel investors
341,Mihup,Conversational AI platform,Series A,"$1,500,000",Kolkata,Intelligence-based personal mobile assistant app,2020,2016,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel"
342,RuralBasket,E-commerce,undisclosed,"$500,000","Tirunelveli, Tamilnadu",Naturally grown and healthy products directly from farmers.,2020,2019,Palani Rajan,Nativelead Foundation
343,WayCool Foods,AgriTech,Debt,"$7,800,000",Chennai,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",2020,2015,"Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank"
344,Infra.Market,Real Estate,Series B,"$20,000,000",Thane,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,2020,2016,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners"
345,Info Edge Venture,Venture capitalist,undisclosed,"$50,000,000",Noida,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",2020,1995,Sanjeev Bikhchandani,Lightbox
346,Clovia,E-commerce,Pre-series C,"$4,000,000",Noida,Clovia is the online lingerie retailer,2020,2013,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital"
347,Codingal,EdTech,Seed,"$560,000",Bangalore,Coding education platform for K-12 students,2020,2020,"Satyam Baranwal, Vivek Prakash","Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator."
348,CRED,Finance company,Series C,"$80,000,000",Bangalore,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,2020,2018,Kunal Shah,"General Catalyst, Ribbit Capital"
349,Vistaar Finance,Finance company,undisclosed,"$30,000,000",Bangalore,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,2020,2010,"Brahmanad, Ramakrishna Nishtala",FMO
350,Let's Dive,SaaS platform,undisclosed,"$1,700,000",Bangalore,A platform for remote employee engagement and building team culture,2020,2020,"Nitesh Agrawal, Om Prakash",Surge
351,Habitat,EdTech,Seed,"$600,000",,"Habitat, a social learning edtech platform for civil service aspirants",2020,2016,"Rohit Pande, Shikhar Sachan","Unitus Ventures, Whiteboard Capital"
352,SAWO Labs,SaaS platform,Seed,"$600,000",Mumbai,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,2020,2020,Prabhat Sahu,"StartupXseed Ventures, 100X.VC"
353,Signzy,AI platform,undisclosed,"$3,000,000",Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,2020,2015,"Ankit Ratan, Ankur Pandey, Arpit Ratan","Stellaris Venture Partners, Mastercard"
354,KopyKitab,EdTech,undisclosed,Undisclosed,Bangalore,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.",2020,2013,"Amit Shrivastava, Sumeet Verma","Paula Mariwala, Siddharth Anand"
355,Kyt,EdTech,undisclosed,"$2,500,000",Singapore,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,2020,2020,"Bhavik Rathod, Tripti Ahuja",Sequoia Capital India’s Surge
356,Raskik,Fusion beverages,Pre-series A,"$1,000,000",,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,2020,2019,"Vikas Chawla, Abhay Parnerkar, Satyajit Ram","Venture Catalysts, 9Unicorns"
357,GetWork,HR Tech,Pre-seed,"$40,000",Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,2020,2019,Rahul Veerwal,India Accelerator
358,Mobile Premier League (MPL),Gaming,Series B,"$500,000",Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,2018,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners"
359,Pravasirojgar,Job portal,undisclosed,"$33,000,000",,Initiative for blue-collar job workers,2020,2020,Sonu Sood,GoodWorker.
360,Omatra Hotels,Hospitality,Seed,Undisclosed,Kolkata,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,2020,2017,"NAVEED AHAMED, SYED SAQQA ABBAS",Capify
361,Awign,Job portal,Pre-series B,Undisclosed,Bangalore,Operations and manpower outsourcing startup,2020,2016,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M"
362,NewsReach,Digital Media,Seed,"$1,500,000",Gujarat,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,2020,2018,"Darshan Shah, Soniya Kundnani","Mumbai Angels, JITO Angel Network."
363,Cashfree,FinTech,Series B,"$35,000,000",Bangalore,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,2020,2015,"Akash Sinha, Reeju Datta","George Osborne, Smilegate Investment"
364,Credgenics,FinTech,Pre-series A,"$3,000,000",New Delhi,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,2018,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures"
365,GeoIQ,AI startup,Seed,"$300,000",Bangalore,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",2020,2018,"Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur","Ankur Mittal, Mitesh Shah"
366,Country Delight,Dairy startup,Series C,"$25,000,000",Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,2015,"Chakradhar Gade, Nitin Kaushal","IIFL Asset Management, Matrix Partners"
367,Quintype,Content management,Series A,"$3,500,000",Bangalore,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",2020,2014,Chirdeep Shetty,IIFL AMC
368,CARS24,Retail,Series E,"$200,000,000",Haryana,CARS24 is an India-based platform for selling used cars.,2020,2015,"Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Global Car Group, Freemark holdings"
369,Astrogate Labs,Spacetech,undisclosed,Undisclosed,Bangalore,Astrogate Labs provides high-quality products related to space infrastructure.,2020,2017,,"Venture Catalysts, Speciale Invest"
370,Power Gummies,HealthTech,Bridge,Undisclosed,New Delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,2020,2018,Divij Bajaj,Venture Catalysts
371,Cityflo,Transportation,Series A,"$7,000,000",Mumbai,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,2020,2015,"Advaith Vishwanath, Ankit Agrawal, Jerin Venad, Rushabh Shah, Sankalp Kelshikar, Subhash Sundaravadivelu","Anupam Mittal, India Quotient"
372,AlgoBulls,Trading platform,undisclosed,"$200,000",Mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,2020,2019,"Pushpak Dagade, Jimmit Patel and Suraj Bathija",Venture Catalysts
373,Credgenics,FinTech,Pre-series A,"$3,000,000",Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,2018,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures"
374,Inntot,Tech company,undisclosed,Undisclosed,Kerala,"Inntot Technologies, is a technology driven company.",2020,2014,Rajith Nair,Unicorn India Ventures
375,Ensuredit,FinTech,Pre-series A,"$300,000",Gurugram,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,2020,2019,"Amit, Rohit Sadhu, and Vikas Ranga",Venture Catalysts
376,Shipsy,AI Company,Series A,"$6,000,000",Gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,2020,2015,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","DTDC, Udaan Angel Partners"
377,ERPNext,Tech company,undisclosed,"$1,000,000",Mumbai,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",2020,2008,Rushabh Mehta,Rainmatter
378,LightSpeedAI,Photonics startup,undisclosed,Undisclosed,Bangalore,Developer of an optoelectronic processor designed to accelerate AI computations.,2020,2019,"Rohin Y, PV Ramana","YourNest, growX ventures"
379,Grip Invest,FinTech,Pre-series A,Undisclosed,Gurugram,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,2020,2020,"Nikhil Aggarwal, Vivek Gulati",Gemba Capital
380,Unacademy,EdTech,undisclosed,Undisclosed,Bangalore,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,2020,2015,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Dragoneer Investment Group, Tiger Global Management"
381,Yellow Classes,EdTech,Pre-series A,"$1,300,000",Gurugram,New-age fun-learning platform for kids.,2020,2020,"Arpit Mittal, Anshul Gupta",India Quotient
382,Plum,HealthTech,undisclosed,"$4,100,000",Bangalore,High quality health insurance and health benefits,2020,2019,"Abhishek Poddar, Saurabh Arora","Surge, Tanglin Venture Partners"
383,STAGE,Entertainment,undisclosed,"$1,000,000",Indore,STAGE is an Indian language content platform for artist-led entertainment.,2020,2019,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal",Venture Catalysts
384,Nykaa,Cosmetics,undisclosed,Undisclosed,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020,2012,Falguni Nayar,"Alia Bhatt, Katrina Kaif"
385,Kaagaz Scanner,Scanning app,undisclosed,"$575,000",,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,2020,2020,"Snehanshu Gandhi, Gaurav Shrishrimal",Pravega Ventures
386,NIRA,FinTech,undisclosed,"$1,000,000",Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2020,2017,"Rohit Sen, Nupur Gupta","Techstars Bangalore Accelerator, Techstars"
387,Prolixr,Skincare startup,Seed,Undisclosed,Gurugram,A premium skincare brand committed towards building innovative skin care wellness.,2020,2018,"Aditya Sharma, Jayesh Hans","Alfa Ventures, Divij Bajaj"
388,Byju's,EdTech,undisclosed,"$200,000,000",Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2020,2011,"Byju Raveendran, Divya Gokulnath","Owl Ventures, Tiger Global Management"
389,DaMENSCH,E-commerce,undisclosed,"$6,000,000",Bangalore,DaMENSCH is a designer and seller of men's apparel.,2020,2018,"Anurag Saboo, Gaurav Pushkar","Whiteboard Capital, Matrix Partners India"
390,Country Delight,Food and Beverages,Series C,"$25,000,000",Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,2015,"Chakradhar Gade, Nitin Kaushal","Orios Venture Partners, Matrix Partners India"
391,SignalX,AI startup,Seed,"$800,000",Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,2020,2018,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels"
392,Lancify,EdTech,undisclosed,"$300,000",Bangalore,Lancify is building the world's strongest young workforce,2020,2018,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator"
393,Krimanshi,Biotechnology company,Seed,"$600,000",Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,2015,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City"
394,Instoried,AI startup,Pre-series A,"$1,000,000",Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,2020,2018,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV"
395,PlayerzPot,Gaming startup,Series A,"$3,000,000",Mumbai,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",2020,2015,"Yogesh, Mitesh Gangar",
396,Instamojo,FinTech,undisclosed,Undisclosed,Bangalore,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",2020,2012,"Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain","BASE, Gunosy Capital"
397,Turtlemint,HealthTech,undisclosed,"$30,000,000",Mumbai,Turtlemint has built Indian personalized insurance platform,2020,2015,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah","Nexus Venture Partners, Dream Incubator"
398,Arata,E-commerce,Pre-series A,"$1,000,000",New Delhi,Arata is an e-commerce site for beauty products and cosmetics.,2020,2017,"Dhruv Madhok, Dhruv Bhasin",DSG Consumer Partners
399,MPL,Gaming startup,undisclosed,"$5,000,000",Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,2018,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners"
400,True Balance,FinTech,undisclosed,"$28,000,000",Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,2020,2014,"Cheolwon Lee, Jay Yi, Martin Lee","IBK Capital, SB Partners"
401,Thrive,FoodTech,Pre-series A,Undisclosed,Mumbai,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",2020,2020,"Dhruv Dewan, Krishi Fagwani","Whiteboard Capital, Ahimsa Capital"
402,Kitchens Centre,Proptech,Pre-series A,Undisclosed,New Delhi,Kitchens Centre offers turnkey solutions to cloud kitchens.,2020,2019,Lakshay Jain,"Jonathan Swanson, Ankush Gera"
403,Prescribe,HealthTech,undisclosed,"$100,000",Chennai,Provide online services to patients by leveraging WhatsApp.,2020,2019,Nived Narayanan,Titan Capital
404,Nepra,CleanTech,Series C,"$18,000,000",Ahmedabad,NEPRA Resource Management provides waste management solutions in India.,2020,2006,Sandeep Patel,"Asha Impact, Aavishkaar Venture Capital"
405,inFeedo,SaaS startup,undisclosed,"$3,200,000",Gurugram,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",2020,2013,Tanmaya Jain,"Peyush Bansal, Ritesh Malik"
406,Shilpa Sciences,HealthTech,Pre-series A,Undisclosed,Bangalore,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,2020,2014,Ashwin Lal,AngelList India
